eps,min_samples,Number of Clusters,Noise Points,Noise Percentage,Silhouette Score,Smallest Cluster,Largest Cluster,Singleton Clusters
7.936291034152378,10,1,18,18.367346938775512,,80,80,0
8.586127183790733,10,1,15,15.306122448979592,,83,83,0
9.235963333429087,10,1,13,13.26530612244898,,85,85,0
9.885799483067442,10,1,11,11.224489795918368,,87,87,0
10.535635632705798,10,1,9,9.183673469387756,,89,89,0
11.185471782344152,10,1,8,8.16326530612245,,90,90,0
11.835307931982507,10,1,8,8.16326530612245,,90,90,0
12.485144081620861,10,1,8,8.16326530612245,,90,90,0
13.134980231259217,10,1,7,7.142857142857142,,91,91,0
13.784816380897572,10,1,5,5.1020408163265305,,93,93,0
14.434652530535926,10,1,4,4.081632653061225,,94,94,0
15.084488680174282,10,1,4,4.081632653061225,,94,94,0
15.734324829812635,10,1,4,4.081632653061225,,94,94,0
16.38416097945099,10,1,4,4.081632653061225,,94,94,0
17.033997129089343,10,1,3,3.061224489795918,,95,95,0
17.6838332787277,10,1,3,3.061224489795918,,95,95,0
18.333669428366054,10,1,3,3.061224489795918,,95,95,0
